"site","site_type","site_id","variable_name","summary","voc_name","variable_name_old","mw","category_1","category_2","category_2no","sort_in_category"
"61st & Passyunk","stationary",3,"x1_3_butadiene_2_methyl","0.0 [0.0, 0.1]","Isoprene","x1_3_butadiene_2_methyl",68.12,"Alkenes","Alkenes",6,3
"61st & Passyunk","stationary",3,"x2_hexanone","0.0 [0.0, 0.0]","2-Hexanone","x2_hexanone",100.161,"Ketones","Ketones",7,1
"61st & Passyunk","stationary",3,"methyl_isobutyl_ketone","0.0 [0.0, 0.1]","Methyl isobutyl ketone","methyl_isobutyl_ketone",100.16,"Ketones","Ketones",7,2
"61st & Passyunk","stationary",3,"trichloromethane","0.2 [0.1, 0.2]","Chloroform","trichloromethane",119.37,"Chlorinated Compounds","Chlorinated Compounds",8,1
"61st & Passyunk","stationary",3,"carbon_tetrachloride","1.8 [1.3, 2.1]","Carbon tetrachloride","carbon_tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",8,2
"61st & Passyunk","stationary",3,"tetrachloroethylene","0.1 [0.1, 0.2]","Tetrachloroethylene","tce",165.83,"Chlorinated Compounds","Chlorinated Compounds",8,3
"61st & Passyunk","stationary",3,"trichloromonofluoromethane","0.7 [0.3, 0.9]","Trichlorofluoromethane","trichlorofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",8,4
"61st & Passyunk","stationary",3,"benzene_1_2_dichloro","0.1 [0.1, 0.1]","1,2-dichlorobenzene","benz12chloro",147.01,"Benzene Derivatives","Chlorinated Compounds",8,5
"28th & Passyunk","stationary",4,"benzene","1.5 [1.1, 2.2]","Benzene","benzene",78.11,"BTEX","BTEX",1,1
"28th & Passyunk","stationary",4,"toluene","2.4 [1.5, 3.7]","Toluene","toluene",92.14,"BTEX","BTEX",1,2
"28th & Passyunk","stationary",4,"ethylbenzene","0.8 [0.5, 1.7]","Ethylbenzene","etbenz",106.17,"BTEX","BTEX",1,3
"28th & Passyunk","stationary",4,"m_p_xylene_2","5.4 [4.2, 13.1]","(m+p)-Xylenes","mpxylene",106.16,"BTEX","BTEX",1,4
"28th & Passyunk","stationary",4,"o_xylene","1.2 [0.8, 2.9]","o-Xylene","oxylene",106.16,"BTEX","BTEX",1,5
"28th & Passyunk","stationary",4,"xylenes","6.6 [5.1, 16.0]","Total Xylenes","xylenes",106.16,"BTEX","BTEX",1,6
"28th & Passyunk","stationary",4,"benzene_1_4_diethyl","0.3 [0.2, 0.8]","1,4-Diethylbenzene","benzene_1_4_diethyl",134.221,"Benzene Derivatives","Alkylbenzenes",2,1
"28th & Passyunk","stationary",4,"benzene_1_2_3_trimethyl","0.4 [0.2, 0.7]","1,2,3-Trimethylbenzene","benzene_1_2_3_trimethyl",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Passyunk","stationary",4,"benzene_1_ethyl_2_methyl","0.3 [0.2, 0.6]","1-Ethyl-2-Methylbenzene","benz1ethyl2methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,3
"28th & Passyunk","stationary",4,"benzene_1_ethyl_3_methyl","0.6 [0.4, 1.6]","1-Ethyl-3-Methylbenzene","benz1ethyl3methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,4
"28th & Passyunk","stationary",4,"benzene_1_ethyl_4_methyl","0.3 [0.2, 0.8]","1-Ethyl-4-Methylbenzene","benz1ethyl4methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,5
"28th & Passyunk","stationary",4,"benzene_propyl","0.4 [0.2, 1.0]","Propylbenzene","propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,6
"28th & Passyunk","stationary",4,"mesitylene","1.1 [0.8, 2.5]","Mesitylene","mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,7
"28th & Passyunk","stationary",4,"n_hexane","2.3 [1.6, 4.6]","n-Hexane","hexane",86.18,"Alkanes","C6-C9 Alkanes",3,1
"28th & Passyunk","stationary",4,"heptane","1.8 [1.3, 3.7]","Heptane","heptane",100.21,"Alkanes","C6-C9 Alkanes",3,2
"28th & Passyunk","stationary",4,"octane","0.7 [0.5, 1.4]","Octane","octane",114.23,"Alkanes","C6-C9 Alkanes",3,3
"28th & Passyunk","stationary",4,"nonane","1.0 [0.6, 1.7]","Nonane","nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"28th & Passyunk","stationary",4,"decane","1.1 [0.6, 1.6]","Decane","decane",149.29,"Alkanes","C10-C12 Alkanes",4,1
"28th & Passyunk","stationary",4,"undecane","1.6 [0.9, 2.1]","Undecane","undecane",156.31,"Alkanes","C10-C12 Alkanes",4,2
"28th & Passyunk","stationary",4,"dodecane","0.9 [0.4, 1.2]","Dodecane","dodecane",170.34,"Alkanes","C10-C12 Alkanes",4,3
"28th & Passyunk","stationary",4,"butane_2_methyl","1.2 [0.8, 2.8]","Isopentane","butane_2_methyl",72.151,"Alkanes","Other Alkanes",5,1
"28th & Passyunk","stationary",4,"pentane_2_methyl","15.0 [10.3, 30.3]","Isohexane","pentane_2_methyl",86.178,"Alkanes","Other Alkanes",5,2
"28th & Passyunk","stationary",4,"hexane_2_methyl","2.0 [1.4, 4.1]","2-Methylhexane","hexane2methyl",100.2,"Alkanes","Other Alkanes",5,3
"28th & Passyunk","stationary",4,"hexane_3_methyl","4.7 [3.2, 10.2]","3-Methylhexane","hexane_3_methyl",100.205,"Alkanes","Other Alkanes",5,4
"28th & Passyunk","stationary",4,"heptane_3_methyl","2.5 [1.4, 5.7]","3-Methylheptane","heptane3methyl",114.23,"Alkanes","Other Alkanes",5,5
"28th & Passyunk","stationary",4,"pentane_3_methyl","5.5 [3.9, 11.6]","3-Methylpentane","pentane_3_methyl",86.178,"Alkanes","Other Alkanes",5,6
"28th & Passyunk","stationary",4,"pentane_2_4_dimethyl","0.9 [0.6, 1.8]","2,4-Dimethylpentane","pentane_2_4_dimethyl",100.205,"Alkanes","Other Alkanes",5,7
"28th & Passyunk","stationary",4,"pentane_2_3_4_trimethyl","1.1 [0.6, 2.4]","2,3,4-Trimethylpentane","pentane_2_3_4_trimethyl",114.232,"Alkanes","Other Alkanes",5,8
